partition_datetime,mean_price
2022-09-10T07:40:00Z,-1
2022-09-10T07:45:00Z,-1
2022-09-10T07:50:00Z,-1
2022-09-10T07:55:00Z,-1
2022-09-10T08:00:00Z,-1
2022-09-10T08:05:00Z,-1
2022-09-10T08:10:00Z,-1
2022-09-10T08:15:00Z,-1
2022-09-10T08:20:00Z,-1
2022-09-10T08:25:00Z,-1
2022-09-10T08:30:00Z,-1
2022-09-10T08:35:00Z,-1
2022-09-10T08:40:00Z,-1
2022-09-10T08:45:00Z,-1
2022-09-10T08:50:00Z,-1
2022-09-10T08:55:00Z,-1
2022-09-10T09:00:00Z,-1
2022-09-10T09:05:00Z,-1
2022-09-10T09:10:00Z,-1
2022-09-10T09:15:00Z,-1
2022-09-10T09:20:00Z,-1
2022-09-10T09:25:00Z,-1
2022-09-10T09:30:00Z,-1
2022-09-10T09:35:00Z,-1
2022-09-10T09:40:00Z,-1
2022-09-10T09:45:00Z,-1
2022-09-10T09:50:00Z,-1
2022-09-10T09:55:00Z,-1
2022-09-10T10:00:00Z,-1
2022-09-10T10:05:00Z,-1
2022-09-10T10:10:00Z,-1
2022-09-10T10:15:00Z,-1
2022-09-10T10:20:00Z,-1
2022-09-10T10:25:00Z,-1
2022-09-10T10:30:00Z,-1
2022-09-10T10:35:00Z,-1
2022-09-10T10:40:00Z,-1
2022-09-10T10:45:00Z,-1
2022-09-10T10:50:00Z,-1
2022-09-10T10:55:00Z,-1
2022-09-10T11:00:00Z,-1
2022-09-10T11:05:00Z,-1
2022-09-10T11:10:00Z,-1
2022-09-10T11:15:00Z,-1
2022-09-10T11:20:00Z,-1
2022-09-10T11:25:00Z,-1
2022-09-10T11:30:00Z,-1
2022-09-10T11:35:00Z,-1
2022-09-10T11:40:00Z,-1
2022-09-10T11:45:00Z,-1
2022-09-10T11:50:00Z,-1
2022-09-10T11:55:00Z,-1
2022-09-10T12:00:00Z,-1
2022-09-10T12:05:00Z,-1
2022-09-10T12:10:00Z,-1
2022-09-10T12:15:00Z,-1
2022-09-10T12:20:00Z,-1
2022-09-10T12:25:00Z,-1
2022-09-10T12:30:00Z,-1
2022-09-10T12:35:00Z,-1
2022-09-10T12:40:00Z,-1
2022-09-10T12:45:00Z,-1
2022-09-10T12:50:00Z,-1
2022-09-10T12:55:00Z,-1
2022-09-11T06:00:00Z,-1
2022-09-11T06:05:00Z,-1
2022-09-11T06:10:00Z,-1
2022-09-11T06:15:00Z,-1
2022-09-11T06:20:00Z,-1
2022-09-11T06:25:00Z,-1
2022-09-11T06:30:00Z,-1
2022-09-11T06:35:00Z,-1
2022-09-11T06:40:00Z,-1
2022-09-11T06:45:00Z,-1
2022-09-11T06:50:00Z,-1
2022-09-11T06:55:00Z,-1
2022-09-11T07:00:00Z,-1
2022-09-11T07:05:00Z,-1
2022-09-11T07:10:00Z,-1
2022-09-11T07:15:00Z,-1
2022-09-11T07:20:00Z,-1
2022-09-11T07:25:00Z,-1
2022-09-11T07:30:00Z,-1
2022-09-11T07:35:00Z,-1
2022-09-11T07:40:00Z,-1
2022-09-11T07:45:00Z,-1
2022-09-11T07:50:00Z,-1
2022-09-11T07:55:00Z,-1
2022-09-11T08:00:00Z,-1
2022-09-11T08:05:00Z,-1
2022-09-11T08:10:00Z,-1
2022-09-11T08:15:00Z,-1
2022-09-11T08:20:00Z,-1
2022-09-11T08:25:00Z,-1
2022-09-11T08:30:00Z,-1
2022-09-11T08:35:00Z,-1
2022-09-11T08:40:00Z,-1
2022-09-11T08:45:00Z,-1
2022-09-11T08:50:00Z,-1
2022-09-11T08:55:00Z,-1
2022-09-11T09:00:00Z,-1
2022-09-11T09:05:00Z,-1
2022-09-11T09:10:00Z,-1
2022-09-11T09:15:00Z,-1
2022-09-11T09:20:00Z,-1
2022-09-11T09:25:00Z,-1
2022-09-11T09:30:00Z,-1
2022-09-11T09:35:00Z,-1
2022-09-11T09:40:00Z,-1
2022-09-11T09:45:00Z,-1
2022-09-11T09:50:00Z,-1
2022-09-11T09:55:00Z,-1
2022-09-11T10:00:00Z,-1
2022-09-11T10:05:00Z,-1
2022-09-11T10:10:00Z,-1
2022-09-11T10:15:00Z,-1
2022-09-11T10:20:00Z,-1
2022-09-11T10:25:00Z,-1
2022-09-11T10:30:00Z,-1
2022-09-11T10:35:00Z,-1
2022-09-11T10:40:00Z,-1
2022-09-11T10:45:00Z,-1
2022-09-11T10:50:00Z,-1
2022-09-11T10:55:00Z,-1
2022-09-11T11:00:00Z,-1
2022-09-11T11:05:00Z,-1
2022-09-11T11:10:00Z,-1
2022-09-11T11:15:00Z,-1
2022-09-11T11:20:00Z,-1
2022-09-11T11:25:00Z,-1
2022-09-11T11:30:00Z,-1
2022-09-11T11:35:00Z,-1
2022-09-11T11:40:00Z,-1
2022-09-11T11:45:00Z,-1
2022-09-11T11:50:00Z,-1
2022-09-11T11:55:00Z,-1
2022-09-11T12:00:00Z,-1
2022-09-11T12:05:00Z,-1
2022-09-11T12:10:00Z,-1
2022-09-11T12:15:00Z,-1
2022-09-11T12:20:00Z,-1
2022-09-11T12:25:00Z,-1
2022-09-11T12:30:00Z,-1
2022-09-11T12:35:00Z,-1
2022-09-11T12:40:00Z,-1
2022-09-11T12:45:00Z,-1
2022-09-11T12:50:00Z,-1
2022-09-11T12:55:00Z,-1
2022-09-12T06:00:00Z,-1
2022-09-12T06:05:00Z,-1
2022-09-12T06:10:00Z,-1
2022-09-12T06:15:00Z,-1
2022-09-12T06:20:00Z,-1
2022-09-12T06:25:00Z,-1
2022-09-12T06:30:00Z,-1
2022-09-12T06:35:00Z,-1
2022-09-12T06:40:00Z,-1
2022-09-12T06:45:00Z,-1
2022-09-12T06:50:00Z,-1
2022-09-12T06:55:00Z,-1
2022-09-12T07:00:00Z,-1
2022-09-12T07:05:00Z,-1
2022-09-12T07:10:00Z,-1
2022-09-12T07:15:00Z,-1
2022-09-12T07:20:00Z,-1
2022-09-12T07:25:00Z,-1
2022-09-12T07:30:00Z,-1
2022-09-12T07:35:00Z,-1
2022-09-12T07:40:00Z,-1
2022-09-12T07:45:00Z,-1
2022-09-12T07:50:00Z,-1
2022-09-12T07:55:00Z,-1
2022-09-12T08:00:00Z,-1
2022-09-12T08:05:00Z,-1
2022-09-12T08:10:00Z,-1
2022-09-12T08:15:00Z,-1
2022-09-12T08:20:00Z,-1
2022-09-12T08:25:00Z,-1
2022-09-12T08:30:00Z,-1
2022-09-12T08:35:00Z,-1
2022-09-12T08:40:00Z,-1
2022-09-12T08:45:00Z,-1
2022-09-12T08:50:00Z,-1
2022-09-12T08:55:00Z,-1
2022-09-12T09:00:00Z,-1
2022-09-12T09:05:00Z,-1
2022-09-12T09:10:00Z,-1
2022-09-12T09:15:00Z,-1
2022-09-12T09:20:00Z,-1
2022-09-12T09:25:00Z,-1
2022-09-12T09:30:00Z,-1
2022-09-12T09:35:00Z,-1
2022-09-12T09:40:00Z,-1
2022-09-12T09:45:00Z,-1
2022-09-12T09:50:00Z,-1
2022-09-12T09:55:00Z,-1
2022-09-12T10:00:00Z,-1
2022-09-12T10:05:00Z,-1
2022-09-12T10:10:00Z,-1
2022-09-12T10:15:00Z,-1
2022-09-12T10:20:00Z,-1
2022-09-12T10:25:00Z,-1
2022-09-12T10:30:00Z,-1
2022-09-12T10:35:00Z,-1
2022-09-12T10:40:00Z,-1
2022-09-12T10:45:00Z,-1
2022-09-12T10:50:00Z,-1
2022-09-12T10:55:00Z,-1
2022-09-12T11:00:00Z,-1
2022-09-12T11:05:00Z,-1
2022-09-12T11:10:00Z,-1
2022-09-12T11:15:00Z,-1
2022-09-12T11:20:00Z,-1
2022-09-12T11:25:00Z,-1
2022-09-12T11:30:00Z,-1
2022-09-12T11:35:00Z,-1
2022-09-12T11:40:00Z,-1
2022-09-12T11:45:00Z,-1
2022-09-12T11:50:00Z,-1
2022-09-12T11:55:00Z,-1
2022-09-12T12:00:00Z,-1
2022-09-12T12:05:00Z,-1
2022-09-12T12:10:00Z,-1
2022-09-12T12:15:00Z,-1
2022-09-12T12:20:00Z,-1
2022-09-12T12:25:00Z,-1
2022-09-12T12:30:00Z,-1
2022-09-12T12:35:00Z,-1
2022-09-12T12:40:00Z,-1
2022-09-12T12:45:00Z,-1
2022-09-12T12:50:00Z,-1
2022-09-12T12:55:00Z,-1
2022-09-13T06:00:00Z,-1
2022-09-13T06:05:00Z,-1
2022-09-13T06:10:00Z,-1
2022-09-13T06:15:00Z,-1
2022-09-13T06:20:00Z,-1
2022-09-13T06:25:00Z,-1
2022-09-13T06:30:00Z,-1
2022-09-13T06:35:00Z,-1
2022-09-13T06:40:00Z,-1
2022-09-13T06:45:00Z,-1
2022-09-13T06:50:00Z,-1
2022-09-13T06:55:00Z,-1
2022-09-13T07:00:00Z,-1
2022-09-13T07:05:00Z,-1
2022-09-13T07:10:00Z,-1
2022-09-13T07:15:00Z,-1
2022-09-13T07:20:00Z,-1
2022-09-13T07:25:00Z,-1
2022-09-13T07:30:00Z,-1
2022-09-13T07:35:00Z,-1
2022-09-13T07:40:00Z,-1
2022-09-13T07:45:00Z,-1
2022-09-13T07:50:00Z,-1
2022-09-13T07:55:00Z,-1
2022-09-13T08:00:00Z,-1
2022-09-13T08:05:00Z,-1
2022-09-13T08:10:00Z,-1
2022-09-13T08:15:00Z,-1
2022-09-13T08:20:00Z,-1
2022-09-13T08:25:00Z,-1
2022-09-13T08:30:00Z,-1
2022-09-13T08:35:00Z,-1
2022-09-13T08:40:00Z,-1
2022-09-13T08:45:00Z,-1
2022-09-13T08:50:00Z,-1
2022-09-13T08:55:00Z,-1
2022-09-13T09:00:00Z,-1
2022-09-13T09:05:00Z,-1
2022-09-13T09:10:00Z,-1
2022-09-13T09:15:00Z,-1
2022-09-13T09:20:00Z,-1
2022-09-13T09:25:00Z,-1
2022-09-13T09:30:00Z,-1
2022-09-13T09:35:00Z,-1
2022-09-13T09:40:00Z,-1
2022-09-13T09:45:00Z,-1
2022-09-13T09:50:00Z,-1
2022-09-13T09:55:00Z,-1
2022-09-13T10:00:00Z,-1
2022-09-13T10:05:00Z,-1
2022-09-13T10:10:00Z,-1
2022-09-13T10:15:00Z,-1
2022-09-13T10:20:00Z,-1
2022-09-13T10:25:00Z,-1
2022-09-13T10:30:00Z,-1
2022-09-13T10:35:00Z,-1
2022-09-13T10:40:00Z,-1
2022-09-13T10:45:00Z,-1
2022-09-13T10:50:00Z,-1
2022-09-13T10:55:00Z,-1
2022-09-13T11:00:00Z,-1
2022-09-13T11:05:00Z,-1
2022-09-13T11:10:00Z,-1
2022-09-13T11:15:00Z,-1
2022-09-13T11:20:00Z,-1
2022-09-13T11:25:00Z,-1
2022-09-13T11:30:00Z,-1
2022-09-13T11:35:00Z,-1
2022-09-13T11:40:00Z,-1
2022-09-13T11:45:00Z,-1
2022-09-13T11:50:00Z,-1
2022-09-13T11:55:00Z,-1
2022-09-13T12:00:00Z,-1
2022-09-13T12:05:00Z,-1
2022-09-13T12:10:00Z,-1
2022-09-13T12:15:00Z,-1
2022-09-13T12:20:00Z,-1
2022-09-13T12:25:00Z,-1
2022-09-13T12:30:00Z,-1
2022-09-13T12:35:00Z,-1
2022-09-13T12:40:00Z,-1
2022-09-13T12:45:00Z,-1
2022-09-13T12:50:00Z,-1
2022-09-13T12:55:00Z,-1
